Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C402       AP1-00053           42.2045mm     82.6341mm     42.2045mm     82.6341mm     42.2045mm     83.1091mm  B        270.00 10p            
C401       AP1-00053           43.0929mm     80.2261mm     43.0929mm     80.2261mm     43.0929mm     79.7511mm  B         90.00 22p            
C400       AP1-00053           43.1349mm     77.8448mm     43.1349mm     77.8448mm     43.1349mm     78.3198mm  B        270.00 22p            
U400       AP6-00206            34.975mm      79.225mm      34.975mm      79.225mm        37.9mm        76.3mm  B         90.00 100 ball VFBGA 
J400       AP8-00852              44.4mm     96.7625mm        44.4mm      98.325mm        45.7mm      95.525mm  T        180.00 2,000 pieces per reel
J202       AP8-00622                30mm         5.7mm          30mm         5.7mm       41.43mm        6.97mm  T        180.00 HEADER 2x10    
J201       AP8-00622              54.3mm       24.28mm        54.3mm       24.28mm       53.03mm       35.71mm  T        270.00 HEADER 2x10    
C101       AP1-00096              35.6mm       96.25mm        35.6mm       96.25mm       34.85mm       96.25mm  B        360.00 CAP-NONPOL     
C100       AP1-00096              33.6mm        91.3mm        33.6mm        91.3mm       34.35mm        91.3mm  B        180.00 CAP-NONPOL     
D401       AP4-00160              53.5mm        97.5mm        53.5mm        97.5mm        53.5mm          97mm  T         90.00 LED_12         
D400       AP4-00160             51.25mm        97.5mm       51.25mm        97.5mm       51.25mm          97mm  T         90.00 LED_12         
J100       AP8-00628              54.3mm       85.24mm        54.3mm       85.24mm       53.03mm       86.51mm  T        270.00 HEADER 2x2     
J101       AP8-00367                20mm       89.05mm          20mm       89.05mm       18.73mm       89.05mm  T          0.00 HEADER 1x2     
JS100      AP8-00525           -164.08mm     -102.48mm        19.9mm        94.7mm     -164.08mm     -102.48mm  T          0.00 To be used by request from ESCATEC
Q100       AP5-00047            49.925mm      88.425mm      49.925mm      88.425mm      49.275mm        89.3mm  B        360.00 MOSFET_DUAL_P_S1G1D2S2G2D1D1D2
Q101       AP5-00047             49.05mm       85.89mm       49.05mm       85.89mm      49.925mm       86.54mm  B        270.00 MOSFET_DUAL_P_S1G1D2S2G2D1D1D2
Q102       AP5-00002              30.3mm      88.025mm        30.3mm      88.025mm       31.35mm      88.975mm  B        180.00 MOSFET_N_GSD   
R103       AP2-00000            47.325mm        89.3mm      47.325mm        89.3mm      46.725mm        89.3mm  B        360.00 R2             
R104       AP2-00000           18.2125mm      84.035mm     18.2125mm      84.035mm     18.2125mm      83.435mm  B         90.00 R2             
R107       AP2-00000            47.175mm       87.55mm      47.175mm       87.55mm      46.575mm       87.55mm  B        360.00 R2             
R300       AP2-00011              23.4mm      88.425mm        23.4mm      88.425mm        23.4mm      87.925mm  T         90.00 R2             
R401       AP2-00000           50.3625mm        74.8mm     50.3625mm        74.8mm     49.7625mm        74.8mm  B        360.00 R2             
R402       AP2-00000              53.6mm        74.8mm        53.6mm        74.8mm          53mm        74.8mm  B        360.00 R2             
R409       AP2-00000              53.6mm        73.5mm        53.6mm        73.5mm          53mm        73.5mm  B        360.00 R2             
R412       AP2-00000              58.8mm        90.8mm        58.8mm        90.8mm        58.8mm        90.2mm  B         90.00 R2             
R410       AP2-00000              54.8mm        90.8mm        54.8mm        90.8mm        54.8mm        91.4mm  B        270.00 R2             
R411       AP2-00000              55.3mm        88.9mm        55.3mm        88.9mm        55.9mm        88.9mm  B        180.00 R2             
R413       AP2-00000              57.8mm        88.9mm        57.8mm        88.9mm        58.4mm        88.9mm  B        180.00 R2             
SW301      AP8-00137                34mm        95.1mm          34mm        95.1mm          32mm       92.35mm  T         90.00 Can be ordered in low volumes from Mouser
Q400       AP5-00001            56.775mm        91.2mm      56.775mm        91.2mm      56.125mm      92.125mm  B        270.00 Same as 2N7002 but with two MOSFETs in one package
C302       AP1-00001             18.55mm       51.09mm       18.55mm       51.09mm       18.55mm       51.64mm  T        270.00 CAP-NONPOL     
C303       AP1-00001             18.55mm       48.39mm       18.55mm       48.39mm       18.55mm       47.84mm  T         90.00 CAP-NONPOL     
C304       AP1-00001             35.65mm          55mm       35.65mm          55mm       35.65mm       54.45mm  T         90.00 CAP-NONPOL     
C305       AP1-00001             40.55mm       37.15mm       40.55mm       37.15mm       40.55mm        37.7mm  T        270.00 CAP-NONPOL     
