Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Manufacturer~String~Manufacturer~100|Field=MPN~String~MPN~100|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=ProjectFullPath~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro.PrjPCB|ReportField=Title~Bill of Materials Fitted For Variant [Default_assembly] of Project [SAMC21N_Xplained_Pro.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~220|ReportField=ReportTime~3:15:37 PM|ReportField=ReportDate~4/10/2017|ReportField=ReportDateTime~4/10/2017 3:15:37 PM|ReportField=OutputName~Bill of Materials Fitted|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default_assembly|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~M.S.K|ReportField=CompanyName~|ReportField=CurrentDate~4/10/2017|ReportField=CurrentTime~3:11:56 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro_TopLevel.SchDoc|ReportField=DocumentName~SAMC21N_Xplained_Pro_TopLevel.SchDoc|ReportField=DocumentNumber~A09-2682|ReportField=DrawnBy~Microchip India|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/8/2017|ReportField=Organization~Microchip India|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.01:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=PCBNumber~A08-2581|ReportField=PCBRevision~2|ReportField=ProjectName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=ProjectTitle~ATSAMC21N-XPRO|ReportField=Revision~4|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Top Level Schematics|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=DataSourceFullPath~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro.PrjPCB
20|Fitted|D400|1|SML-P11MT|ROHM|SML-P11MT-T86|LED, SMD 0402, Green, Wave length=569nm, 2.1mcd @ (1mA, 1.9Vf)
21|Fitted|D401, D700|2|SML-P11YT|ROHM|SML-P11YT-T86|LED, SMD 0402, Yellow, Wave length=586nm, 7.6mcd @ (1mA, 1.9Vf)
22|Fitted|D402|1|EMI2121MTTAG|ON Semiconductor|EMI2121MTTAG|EMI2121, SZEMI2121 Single Pair Common Mode Filter with ESD Protection
23|Fitted|D500|1|BAV99|Philips|BAV99|High-speed Double Diode
24|Fitted|E1, E2, E3, E4|4|SJ-5076|3M|SJ-5076|2.8mm adhesive feet,diam 8.0mm
25|Fitted|F100|1|MC36213|Multicomp|MC36213|Resetable PTC fuse, Ih = 0.5A, It = 1.0A, 0805 package
26|Fitted|FIXTURE1|1|Xplained PRO MCU board Jupiter Test Fixture|ESCATEC|Xplained PRO MCU board Jupiter Test Fixture|Xplained PRO MCU board Jupiter Test Fixture
27|Fitted|FW1|1|EDBG secured firmware|ATMEL||EDBG secured firmware
28|Fitted|J100|1|P101-2*02RGF-139-ND||P101-2*02RGF-139-ND|Pin header, 2x2, Right Angle, 2.54mm, THT, Pin In Paste
29|Fitted|J101|1|Pin header 1x2 right angle|Pro-data International Corp|2213R-2G|1x2 pin header, right angle, 2.54 mm pitch, through-hole
30|Fitted|J102, J503|2|HMTSW-103-23-F-S-237|SAMTEC|HMTSW-103-23-F-S-237|1x3 pin header, 2.54mm pitch, Pin-in-Paste THM, 1mm hole
31|Fitted|J200, J201, J202|3|P101-2*10RGF-139-ND||P101-2*10RGF-139-ND|Pin header, 2x10, Right Angle, 2.54mm, THM, Pin In Paste
32|Fitted|J203|1|PIN HEADER 2x5|Garry|STL21-0730 G TT-10U|2x5 pin header, 1.27mm pitch, THM
33|Fitted|J400|1|ZX62D-AB-5P8|||Micro USB AB Connector, Standard SMT + DIP
34|Fitted|J500, J501, J502, J505, J700|5|HMTSW-102-23-F-S-237|SAMTEC|HMTSW-102-23-F-S-237|1x2 pin header, 2.54mm pitch, Pin-in-Paste THM
35|Fitted|J701|1|HMTSW-103-23-F-D-237|SAMTEC|HMTSW-103-23-F-D-237|2x3 pin header, 2.54mm pitch, Pin-in-Paste THM
36|Fitted|JS100, JS101, JS500, JS501|4|SNT-100-BK-G|SAMTEC|SNT-100-BK-G|Jumper cap for 2.54mm pinheader
37|Fitted|L300, L401, L402, L700|4|BLM18PG471SN1|Murata|BLM18PG471SN1|SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.65Ohm, Max current=1A
38|Fitted|LABEL1|1|Label PCBA|ACT Logimark AS|505462|PCBA identification label PP Top White Gloss
39|Fitted|PCB1|1|SAM C21N Xplained Pro PCB|||SAM C21N Xplained Pro PCB, 4 layer, 60mm x 100mm
